symbol,name,sector,sister1,sister2
BDL,Bharat Dynamics Limited,DEFENCE,HAL,BEL
BEL,Bharat Electronics Limited,DEFENCE,HAL,BDL
BHARATFORG,Bharat Forge Limited,CAPITAL_GOODS,TIINDIA,SONACOMS
BHEL,Bharat Heavy Electricals Limited,CAPITAL_GOODS,SIEMENS,ABB
BPCL,Bharat Petroleum Corporation Limited,OIL_GAS,HINDPETRO,IOC
BHARTIARTL,Bharti Airtel Limited,TELECOM,INDUSTOWER,IDEA
BIOCON,Biocon Limited,PHARMA,DIVISLAB,LAURUSLABS
BLUESTARCO,Blue Star Limited,CONSUMER,VOLTAS,HAVELLS
BOSCHLTD,Bosch Limited,AUTO_ANCILLARY,TIINDIA,MOTHERSON
BRITANNIA,Britannia Industries Limited,FMCG,NESTLEIND,DABUR
CGPOWER,CG Power and Industrial Solutions Limited,CAPITAL_GOODS,ABB,SIEMENS
CANBK,Canara Bank,PSU_BANKS,SBIN,BANKBARODA
CDSL,Central Depository Services (India) Limited,AMC_BROKING,BSE,ANGELONE
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,NBFC,BAJFINANCE,SHRIRAMFIN
CIPLA,Cipla Limited,PHARMA,SUNPHARMA,DRREDDY
COALINDIA,Coal India Limited,MINING,NMDC,HINDZINC
COCHINSHIP,Cochin Shipyard Limited,DEFENCE,MAZDOCK,BDL
COFORGE,Coforge Limited,IT,PERSISTENT,MPHASIS
COLPAL,Colgate Palmolive (India) Limited,FMCG,HINDUNILVR,DABUR
CAMS,Computer Age Management Services Limited,AMC_BROKING,KFINTECH,CDSL
CONCOR,Container Corporation of India Limited,LOGISTICS,DELHIVERY,ADANIPORTS
CROMPTON,Crompton Greaves Consumer Electricals Limited,CONSUMER,HAVELLS,POLYCAB
CUMMINSIND,Cummins India Limited,CAPITAL_GOODS,ABB,SIEMENS
DLF,DLF Limited,REALTY,GODREJPROP,PRESTIGE
DABUR,Dabur India Limited,FMCG,MARICO,HINDUNILVR
DALBHARAT,Dalmia Bharat Limited,CEMENT,SHREECEM,AMBUJACEM
DELHIVERY,Delhivery Limited,LOGISTICS,CONCOR,ADANIPORTS
DIVISLAB,Divi's Laboratories Limited,PHARMA,BIOCON,LAURUSLABS
DIXON,Dixon Technologies (India) Limited,CAPITAL_GOODS,AMBER,KAYNES
DRREDDY,Dr. Reddy's Laboratories Limited,PHARMA,CIPLA,SUNPHARMA
ETERNAL,ETERNAL LIMITED,FMCG,TATACONSUM,DABUR
EICHERMOT,Eicher Motors Limited,AUTO,BAJAJ-AUTO,HEROMOTOCO
EXIDEIND,Exide Industries Limited,AUTO_ANCILLARY,MOTHERSON,TIINDIA
FORCEMOT,FORCE MOTORS LTD,AUTO,ASHOKLEY,EICHERMOT
NYKAA,FSN E-Commerce Ventures Limited,RETAIL,DMART,TRENT
FORTIS,Fortis Healthcare Limited,HEALTHCARE,APOLLOHOSP,MAXHEALTH
GAIL,GAIL (India) Limited,OIL_GAS,PETRONET,IOC
GMRAIRPORT,GMR AIRPORTS LIMITED,INFRA,ADANIPORTS,LT
GLENMARK,Glenmark Pharmaceuticals Limited,PHARMA,CIPLA,LUPIN
GODFRYPHLP,Godfrey Phillips India Limited,FMCG,ITC,COLPAL
GODREJCP,Godrej Consumer Products Limited,FMCG,HINDUNILVR,MARICO
GODREJPROP,Godrej Properties Limited,REALTY,DLF,PRESTIGE
GRASIM,Grasim Industries Limited,CEMENT,ULTRACEMCO,AMBUJACEM
HCLTECH,HCL Technologies Limited,IT,INFY,TCS
HDFCAMC,HDFC Asset Management Company Limited,AMC_BROKING,NAM-INDIA,NUVAMA
HDFCBANK,HDFC Bank Limited,BANKS,ICICIBANK,AXISBANK
HDFCLIFE,HDFC Life Insurance Company Limited,INSURANCE,ICICIPRULI,SBILIFE
HAVELLS,Havells India Limited,CONSUMER,POLYCAB,CROMPTON
HEROMOTOCO,Hero MotoCorp Limited,AUTO,BAJAJ-AUTO,EICHERMOT
HINDALCO,Hindalco Industries Limited,METALS,NATIONALUM,VEDL
HAL,Hindustan Aeronautics Limited,DEFENCE,BEL,BDL
HINDPETRO,Hindustan Petroleum Corporation Limited,OIL_GAS,BPCL,IOC
HINDUNILVR,Hindustan Unilever Limited,FMCG,DABUR,GODREJCP
HINDZINC,Hindustan Zinc Limited,METALS,VEDL,NATIONALUM
POWERINDIA,Hitachi Energy India Limited,CAPITAL_GOODS,ABB,SIEMENS
HUDCO,Housing & Urban Development Corporation Limited,INFRA,NBCC,RVNL
HYUNDAI,Hyundai Motor India Limited,AUTO,MARUTI,TATAMOTORS
ICICIBANK,ICICI Bank Limited,BANKS,HDFCBANK,AXISBANK
ICICIGI,ICICI Lombard General Insurance Company Limited,INSURANCE,SBILIFE,HDFCLIFE
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,INSURANCE,HDFCLIFE,SBILIFE
IDFCFIRSTB,IDFC First Bank Limited,BANKS,RBLBANK,BANDHANBNK
ITC,ITC Limited,FMCG,HINDUNILVR,BRITANNIA
INDIANB,Indian Bank,PSU_BANKS,SBIN,CANBK
IEX,Indian Energy Exchange Limited,AMC_BROKING,MCX,BSE
IOC,Indian Oil Corporation Limited,OIL_GAS,BPCL,HINDPETRO
IRFC,Indian Railway Finance Corporation Limited,INFRA,RVNL,HUDCO
IREDA,Indian Renewable Energy Development Agency Limited,POWER,NHPC,ADANIGREEN
INDUSTOWER,Indus Towers Limited,TELECOM,BHARTIARTL,IDEA
INDUSINDBK,IndusInd Bank Limited,BANKS,AXISBANK,FEDERALBNK
NAUKRI,Info Edge (India) Limited,TECH_INTERNET,PAYTM,POLICYBZR
INFY,Infosys Limited,IT,TCS,HCLTECH
INOXWIND,Inox Wind Limited,POWER,SUZLON,WAAREEENER
INDIGO,InterGlobe Aviation Limited,AVIATION,GMRAIRPORT,ADANIPORTS
JINDALSTEL,JINDAL STEEL LIMITED,METALS,TATASTEEL,JSWSTEEL
JSWENERGY,JSW Energy Limited,POWER,TATAPOWER,NTPC
JSWSTEEL,JSW Steel Limited,METALS,TATASTEEL,SAIL
JIOFIN,Jio Financial Services Limited,NBFC,BAJFINANCE,CHOLAFIN
JUBLFOOD,Jubilant Foodworks Limited,RETAIL,DMART,TRENT
KEI,KEI Industries Limited,CONSUMER,POLYCAB,HAVELLS
KPITTECH,KPIT Technologies Limited,IT,COFORGE,PERSISTENT
KALYANKJIL,Kalyan Jewellers India Limited,CONSUMER,TITAN,RAJESHEXPO
KAYNES,Kaynes Technology India Limited,CAPITAL_GOODS,DIXON,AMBER
KFINTECH,Kfin Technologies Limited,AMC_BROKING,CAMS,CDSL
KOTAKBANK,Kotak Mahindra Bank Limited,BANKS,HDFCBANK,ICICIBANK
LTF,L&T Finance Limited,NBFC,BAJFINANCE,CHOLAFIN
LICHSGFIN,LIC Housing Finance Limited,NBFC,PNBHOUSING,SAMMAAN
LTM,LTIMindtree Limited,IT,INFY,TCS
LT,Larsen & Toubro Limited,INFRA,ADANIPORTS,GMRAIRPORT
LAURUSLABS,Laurus Labs Limited,PHARMA,BIOCON,DIVISLAB
LICI,Life Insurance Corporation Of India,INSURANCE,SBILIFE,HDFCLIFE
LODHA,Lodha Developers Limited,REALTY,DLF,GODREJPROP
LUPIN,Lupin Limited,PHARMA,CIPLA,DRREDDY
M&M,Mahindra & Mahindra Limited,AUTO,MARUTI,TATAMOTORS
MANAPPURAM,Manappuram Finance Limited,NBFC,MUTHOOTFIN,SHRIRAMFIN
MANKIND,Mankind Pharma Limited,PHARMA,CIPLA,ALKEM
MARICO,Marico Limited,FMCG,HINDUNILVR,GODREJCP
MARUTI,Maruti Suzuki India Limited,AUTO,HYUNDAI,M&M
MFSL,Max Financial Services Limited,INSURANCE,HDFCLIFE,ICICIPRULI
MAXHEALTH,Max Healthcare Institute Limited,HEALTHCARE,APOLLOHOSP,FORTIS
MAZDOCK,Mazagon Dock Shipbuilders Limited,DEFENCE,COCHINSHIP,HAL
MOTILALOFS,Motilal Oswal Financial Services Limited,AMC_BROKING,ANGELONE,NUVAMA
MPHASIS,MphasiS Limited,IT,COFORGE,PERSISTENT
MCX,Multi Commodity Exchange of India Limited,AMC_BROKING,IEX,BSE
MUTHOOTFIN,Muthoot Finance Limited,NBFC,MANAPPURAM,SHRIRAMFIN
NBCC,NBCC (India) Limited,INFRA,RVNL,HUDCO
NHPC,NHPC Limited,POWER,NTPC,POWERGRID
NMDC,NMDC Limited,MINING,COALINDIA,HINDZINC
NTPC,NTPC Limited,POWER,POWERGRID,TATAPOWER
NATIONALUM,National Aluminium Company Limited,METALS,HINDALCO,VEDL
NESTLEIND,Nestle India Limited,FMCG,BRITANNIA,DABUR
NAM-INDIA,Nippon Life India Asset Management Limited,AMC_BROKING,HDFCAMC,CAMS
NUVAMA,Nuvama Wealth Management Limited,AMC_BROKING,MOTILALOFS,ANGELONE
OBEROIRLTY,Oberoi Realty Limited,REALTY,DLF,PRESTIGE
ONGC,Oil & Natural Gas Corporation Limited,OIL_GAS,IOC,BPCL
OIL,Oil India Limited,OIL_GAS,ONGC,GAIL
PAYTM,One 97 Communications Limited,TECH_INTERNET,NAUKRI,POLICYBZR
OFSS,Oracle Financial Services Software Limited,IT,INFY,HCLTECH
POLICYBZR,PB Fintech Limited,TECH_INTERNET,PAYTM,NAUKRI
PGEL,PG Electroplast Limited,CAPITAL_GOODS,DIXON,AMBER
PIIND,PI Industries Limited,AGRO_CHEM,UPL,SRF
PNBHOUSING,PNB Housing Finance Limited,NBFC,LICHSGFIN,SAMMAAN
PAGEIND,Page Industries Limited,CONSUMER,TITAN,TRENT
PATANJALI,Patanjali Foods Limited,FMCG,MARICO,HINDUNILVR
PERSISTENT,Persistent Systems Limited,IT,COFORGE,MPHASIS
PETRONET,Petronet LNG Limited,OIL_GAS,GAIL,IOC
PIDILITIND,Pidilite Industries Limited,CONSUMER,ASIANPAINT,SRF
PPLPHARMA,Piramal Pharma Limited,PHARMA,CIPLA,GLENMARK
POLYCAB,Polycab India Limited,CONSUMER,HAVELLS,KEI
PFC,Power Finance Corporation Limited,POWER_FINANCE,RECLTD,IRFC
POWERGRID,Power Grid Corporation of India Limited,POWER,NTPC,TATAPOWER
PREMIERENE,Premier Energies Limited,POWER,WAAREEENER,SUZLON
PRESTIGE,Prestige Estates Projects Limited,REALTY,DLF,GODREJPROP
PNB,Punjab National Bank,PSU_BANKS,SBIN,BANKBARODA
RBLBANK,RBL Bank Limited,BANKS,IDFCFIRSTB,BANDHANBNK
RECLTD,REC Limited,POWER_FINANCE,PFC,IRFC
RVNL,Rail Vikas Nigam Limited,INFRA,NBCC,HUDCO
RELIANCE,Reliance Industries Limited,CONGLOMERATE,ADANIENT,LT
SBICARD,SBI Cards and Payment Services Limited,NBFC,BAJFINANCE,CHOLAFIN
SBILIFE,SBI Life Insurance Company Limited,INSURANCE,HDFCLIFE,ICICIPRULI
SHREECEM,SHREE CEMENT LIMITED,CEMENT,ULTRACEMCO,AMBUJACEM
SRF,SRF Limited,AGRO_CHEM,PIIND,UPL
SAMMAAN,Sammaan Capital Limited,NBFC,LICHSGFIN,PNBHOUSING
MOTHERSON,Samvardhana Motherson International Limited,AUTO_ANCILLARY,TIINDIA,BOSCHLTD
SHRIRAMFIN,Shriram Finance Limited,NBFC,MANAPPURAM,MUTHOOTFIN
SIEMENS,Siemens Limited,CAPITAL_GOODS,ABB,CGPOWER
SOLARINDS,Solar Industries India Limited,DEFENCE,BEL,BDL
SONACOMS,Sona BLW Precision Forgings Limited,AUTO_ANCILLARY,TIINDIA,BHARATFORG
SBIN,State Bank of India,PSU_BANKS,BANKBARODA,CANBK
SAIL,Steel Authority of India Limited,METALS,TATASTEEL,JSWSTEEL
SUNPHARMA,Sun Pharmaceutical Industries Limited,PHARMA,DRREDDY,CIPLA
SUPREMEIND,Supreme Industries Limited,CONSUMER,ASTRAL,POLYCAB
SUZLON,Suzlon Energy Limited,POWER,INOXWIND,WAAREEENER
SWIGGY,Swiggy Limited,RETAIL,JUBLFOOD,DMART
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,FMCG,HINDUNILVR,BRITANNIA
TVSMOTOR,TVS Motor Company Limited,AUTO,BAJAJ-AUTO,HEROMOTOCO
TCS,Tata Consultancy Services Limited,IT,INFY,HCLTECH
TATAELXSI,Tata Elxsi Limited,IT,KPITTECH,MPHASIS
TMPV,Tata Motors Passenger Vehicles Limited,AUTO,MARUTI,HYUNDAI
TATAPOWER,Tata Power Company Limited,POWER,NTPC,JSWENERGY
TATASTEEL,Tata Steel Limited,METALS,JSWSTEEL,SAIL
TATATECH,Tata Technologies Limited,IT,KPITTECH,COFORGE
TECHM,Tech Mahindra Limited,IT,WIPRO,HCLTECH
FEDERALBNK,The Federal Bank Limited,BANKS,IDFCFIRSTB,RBLBANK
INDHOTEL,The Indian Hotels Company Limited,HOSPITALITY,APOLLOHOSP,MAXHEALTH
PHOENIXLTD,The Phoenix Mills Limited,REALTY,DLF,PRESTIGE
TITAN,Titan Company Limited,CONSUMER,PAGEIND,KALYANKJIL
TORNTPHARM,Torrent Pharmaceuticals Limited,PHARMA,CIPLA,LUPIN
TORNTPOWER,Torrent Power Limited,POWER,TATAPOWER,JSWENERGY
TRENT,Trent Limited,RETAIL,DMART,NYKAA
TIINDIA,Tube Investments of India Limited,AUTO_ANCILLARY,MOTHERSON,BOSCHLTD
UNOMINDA,UNO Minda Limited,AUTO_ANCILLARY,MOTHERSON,TIINDIA
UPL,UPL Limited,AGRO_CHEM,PIIND,SRF
ULTRACEMCO,UltraTech Cement Limited,CEMENT,AMBUJACEM,SHREECEM
UNIONBANK,Union Bank of India,PSU_BANKS,SBIN,CANBK
UNITDSPR,United Spirits Limited,FMCG,ITC,HINDUNILVR
VBL,Varun Beverages Limited,FMCG,BRITANNIA,DABUR
VEDL,Vedanta Limited,METALS,HINDALCO,NATIONALUM
VMM,Vishal Mega Mart Limited,RETAIL,DMART,TRENT
IDEA,Vodafone Idea Limited,TELECOM,BHARTIARTL,INDUSTOWER
VOLTAS,Voltas Limited,CONSUMER,BLUESTARCO,HAVELLS
WAAREEENER,Waaree Energies Limited,POWER,PREMIERENE,SUZLON
WIPRO,Wipro Limited,IT,TECHM,HCLTECH
YESBANK,Yes Bank Limited,BANKS,RBLBANK,IDFCFIRSTB
ZYDUSLIFE,Zydus Lifesciences Limited,PHARMA,SUNPHARMA,CIPLA
TATAMOTORS,Tata Motors Limited,AUTO,MARUTI,HYUNDAI
